event_id,user_id,event_type,event_timestamp
dec45600-9195-4d68-ac73-cc00e49b8de7,2e510b8f-af87-4e35-bfa7-b87387ad1000,upgrade,2025-11-17 04:54:51.412712
0a39e771-48f8-41ac-9c04-665af06fda8a,9f61b0a6-6ba1-464b-b88b-e41571b95788,signup,2025-11-26 18:27:51.412712
659b71ac-561d-4ca6-abb3-3f1ad9919d3b,d2225033-8fb6-47d9-97c9-750db0681ac3,start_trial,2025-11-19 23:51:51.412712
eeb74448-5741-4377-aed2-4e125782ee70,641bb3cc-f786-4d87-a944-d286f47d6520,click_cta,2025-11-10 16:11:51.412712
68910ea1-bde7-44bd-a57f-36f93b62cb43,c31743cd-970a-4814-a948-b6ac62b836e2,upgrade,2025-11-10 13:55:51.412712
5b40010e-a531-4f1e-a79e-b796b2b9215b,b88c176b-aad1-4484-a152-2ba3f2e2ac68,upgrade,2025-11-13 09:43:51.412712
5d9a9a23-7f21-45d7-b3ce-99d7b10be1b4,34c16f85-b7bf-4b5c-8fbf-5423b8677cc3,signup,2025-12-02 12:01:51.412712
0dde1ab0-c870-497a-a35e-133fe853d845,0679b2ac-23f2-43fe-a49a-b7899443fa24,click_cta,2025-12-04 06:57:51.412712
f5c7b77f-a1e3-49b6-a012-4e4acbe262e6,b85cae71-18f8-465b-9ec5-c2316b72de1b,upgrade,2025-11-25 05:24:51.412712
8e2ff0d8-1a90-47f4-a08c-a3ebccd688ee,cf33b21c-6534-48c6-9099-8dc28b28f15e,upgrade,2025-11-11 03:53:51.412712
4a0447bb-0200-4ea9-b8d6-a420910dcc8d,959c9dd3-d7d5-446f-ad7a-d5960344c2e9,signup,2025-12-03 12:21:51.412712
1724961d-2a9d-48d3-be50-01788eabc972,26dd0dc6-dcbd-44ad-8586-d14f640a0d4b,view_page,2025-11-30 00:08:51.412712
0e94966a-d937-48da-a0ea-59c9e2d62069,d8cc30fc-eb41-4aff-a663-b0853d169c68,signup,2025-11-07 16:05:51.412712
b32bb392-f3c5-4987-8e9e-f7005caee9b2,5cc4b356-2378-41f8-8e5a-a0a07699b685,login,2025-11-24 08:17:51.412712
d277548a-fcb1-4d1b-90d7-5a3ac7d38e21,66a835f2-1b4e-4f41-a9fe-7f6b1cad6ff0,view_page,2025-11-09 18:36:51.412712
efd183d7-6976-46e0-b76b-a9e291f9f907,ac32a520-47ed-4696-b165-f031506ea75e,start_trial,2025-11-06 16:38:51.412712
bd394227-adb2-41f1-b1d0-fa23cdbb6684,6d0b363f-de15-45f9-90ab-db47a98975ce,click_cta,2025-11-26 12:05:51.412712
6fc7df9a-59a4-4b41-bbd2-f95eecaf48bc,fb8c310b-73e4-40a5-bd2b-dd86211cf2de,signup,2025-12-02 22:15:51.412712
74ab23a2-1632-4ff8-b2a1-1c96b2987c40,dc89d895-a534-4b21-af8a-7c997bf72a05,start_trial,2025-12-04 00:50:51.412712
e2ec3069-d1f2-4df5-86ec-b0729f5ac39c,e607334c-e691-4dce-9ac8-a60a98f3119b,login,2025-11-24 09:15:51.412712
47898bb8-c2a0-4c72-854b-d045e8d46f33,0c22ae5d-13b0-4274-a6e1-1b38a6c199e7,start_trial,2025-11-14 05:57:51.412712
